seed,amplitude,snr,protocol,implementation,unexplained_pct,rms_log,planted_cv_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,iterations,seconds,distance,lam,shrink,field_scale,field_terms,timestamp,git_commit,host
1,0.4,inf,v1.0,torch,3.37391,0.0342165,8.01912,1.83848,0.0184525,5.66111,50,0.515,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
1,0.4,inf,v1.0,cxx,3.3738,0.0342153,8.01912,1.83842,0.0184518,5.66111,50,7.557,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
2,0.4,inf,v1.0,torch,3.30924,0.0328193,7.6336,1.59177,0.0159115,6.49394,50,0.524,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
2,0.4,inf,v1.0,cxx,3.30903,0.0328173,7.6336,1.5917,0.0159107,6.49394,50,7.293,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
3,0.4,inf,v1.0,torch,2.71783,0.0274827,8.00337,1.24978,0.012581,5.87492,50,0.547,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
3,0.4,inf,v1.0,cxx,2.7177,0.0274814,8.00337,1.24958,0.0125791,5.87492,50,7.933,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
4,0.4,inf,v1.0,torch,2.78265,0.02798,9.53594,1.37767,0.0137655,7.282,50,0.518,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
4,0.4,inf,v1.0,cxx,2.78236,0.0279772,9.53594,1.37756,0.0137644,7.282,50,7.486,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
5,0.4,inf,v1.0,torch,3.14949,0.0315151,7.25264,1.46021,0.0146303,5.28404,50,0.512,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
5,0.4,inf,v1.0,cxx,3.1495,0.0315152,7.25264,1.46026,0.0146308,5.28404,50,7.295,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
6,0.4,inf,v1.0,torch,2.94986,0.0299241,8.07184,1.43964,0.0145204,6.96086,50,0.536,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
6,0.4,inf,v1.0,cxx,2.94971,0.0299226,8.07184,1.43951,0.0145191,6.96086,50,7.16,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
7,0.4,inf,v1.0,torch,2.80255,0.028616,10.1879,1.44538,0.0146078,8.59942,50,0.523,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
7,0.4,inf,v1.0,cxx,2.80266,0.0286171,10.1879,1.44533,0.0146073,8.59942,50,7.263,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
8,0.4,inf,v1.0,torch,2.49564,0.0252921,8.39204,1.22459,0.0123069,6.70955,50,0.518,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
8,0.4,inf,v1.0,cxx,2.49566,0.0252923,8.39204,1.22461,0.0123071,6.70955,50,7.574,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
9,0.4,inf,v1.0,torch,5.57392,0.0570984,10.3212,3.05808,0.030776,8.62854,50,0.529,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
9,0.4,inf,v1.0,cxx,5.57367,0.057096,10.3212,3.05789,0.030774,8.62854,50,7.393,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
10,0.4,inf,v1.0,torch,2.4368,0.0245293,8.6009,1.40094,0.014106,7.43999,50,0.563,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
10,0.4,inf,v1.0,cxx,2.43732,0.0245343,8.6009,1.40104,0.0141069,7.43999,50,7.526,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
11,0.4,inf,v1.0,torch,1.74054,0.0172832,8.14426,0.753787,0.00753843,6.441,50,0.559,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
11,0.4,inf,v1.0,cxx,1.74092,0.0172869,8.14426,0.753843,0.00753901,6.441,50,7.762,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.0,torch,3.16697,0.0321728,8.20754,1.88258,0.01895,6.54936,50,0.573,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.0,cxx,3.16697,0.0321728,8.20754,1.88265,0.0189507,6.54936,50,7.576,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.0,torch,2.13512,0.0216553,8.10184,1.10959,0.0111784,6.70213,50,0.559,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.0,cxx,2.13497,0.0216539,8.10184,1.10956,0.0111781,6.70213,50,7.283,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.0,torch,3.61529,0.0359538,9.00622,1.76701,0.0177731,7.57758,50,0.513,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.0,cxx,3.61528,0.0359537,9.00622,1.76697,0.0177727,7.57758,50,7.318,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.0,torch,2.85042,0.0291847,8.11356,1.55048,0.0156677,6.86777,50,0.516,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.0,cxx,2.85052,0.0291857,8.11356,1.55053,0.0156682,6.86777,50,7.437,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.0,torch,5.97623,0.0599537,7.39708,3.88867,0.038905,5.67719,50,0.513,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.0,cxx,5.97576,0.0599493,7.39708,3.88822,0.0389006,5.67719,50,7.422,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.0,torch,4.32731,0.0442547,9.08495,2.21508,0.0223932,7.84108,50,0.51,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.0,cxx,4.32689,0.0442507,9.08495,2.21476,0.0223901,7.84108,50,7.265,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.0,torch,4.1079,0.0418374,10.3687,2.6832,0.0271015,9.07604,50,0.507,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.0,cxx,4.10788,0.0418374,10.3687,2.68299,0.0270995,9.07604,50,7.63,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.0,torch,3.50546,0.0355316,7.67324,1.80749,0.0181649,5.55738,50,0.528,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.0,cxx,3.50514,0.0355285,7.67324,1.80723,0.0181623,5.55738,50,8.368,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.0,torch,2.04861,0.0205796,8.08774,0.951838,0.00954199,6.39393,50,0.508,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.0,cxx,2.04834,0.020577,8.08774,0.951896,0.00954255,6.39393,50,7.453,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
21,0.4,inf,v1.0,torch,2.1786,0.0219633,6.09176,1.31816,0.0132749,4.3992,50,0.517,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
21,0.4,inf,v1.0,cxx,2.17853,0.0219627,6.09176,1.31811,0.0132744,4.3992,50,7.373,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.0,torch,2.29524,0.023253,6.56999,1.31946,0.0133466,4.853,50,0.532,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.0,cxx,2.295,0.0232508,6.56999,1.31921,0.0133441,4.853,50,7.438,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
23,0.4,inf,v1.0,torch,4.33655,0.0441418,8.909,2.29067,0.0230803,7.26901,50,0.516,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
23,0.4,inf,v1.0,cxx,4.3364,0.0441403,8.909,2.29058,0.0230794,7.26901,50,7.461,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
24,0.4,inf,v1.0,torch,2.81604,0.0283842,8.21065,1.34533,0.0135178,6.99524,50,0.558,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
24,0.4,inf,v1.0,cxx,2.81595,0.0283833,8.21065,1.34528,0.0135174,6.99524,50,7.609,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
25,0.4,inf,v1.0,torch,3.62753,0.0369735,9.22679,2.16108,0.0217652,7.54506,50,0.57,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
25,0.4,inf,v1.0,cxx,3.62729,0.0369709,9.22679,2.16098,0.0217641,7.54506,50,7.653,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
26,0.4,inf,v1.0,torch,5.06362,0.052017,9.8941,2.61221,0.0263578,7.942,50,0.514,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
26,0.4,inf,v1.0,cxx,5.06346,0.0520155,9.8941,2.61205,0.0263563,7.942,50,7.552,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
27,0.4,inf,v1.0,torch,3.40994,0.0347893,8.42177,1.89709,0.0191516,6.90956,50,0.513,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
27,0.4,inf,v1.0,cxx,3.4097,0.0347868,8.42177,1.89689,0.0191495,6.90956,50,7.261,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
28,0.4,inf,v1.0,torch,3.52077,0.0358129,8.96917,1.79895,0.0180981,6.96572,50,0.518,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
28,0.4,inf,v1.0,cxx,3.52054,0.0358107,8.96917,1.79874,0.018096,6.96572,50,7.349,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
29,0.4,inf,v1.0,torch,3.37205,0.0344065,10.0979,2.01247,0.0203182,8.48476,50,0.519,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
29,0.4,inf,v1.0,cxx,3.37226,0.0344087,10.0979,2.01251,0.0203187,8.48476,50,7.394,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
30,0.4,inf,v1.0,torch,4.1901,0.0426538,9.22654,2.11816,0.0213016,7.08863,50,0.522,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
30,0.4,inf,v1.0,cxx,4.18986,0.0426515,9.22654,2.11799,0.0212999,7.08863,50,7.537,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
31,0.4,inf,v1.0,torch,2.73683,0.0276023,8.62918,1.6254,0.0164067,7.54182,50,0.564,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
31,0.4,inf,v1.0,cxx,2.73694,0.0276035,8.62918,1.62537,0.0164064,7.54182,50,7.51,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
32,0.4,inf,v1.0,torch,2.55003,0.0251023,7.63011,1.26783,0.0125235,5.78325,49,0.544,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
32,0.4,inf,v1.0,cxx,2.54995,0.0251015,7.63011,1.2677,0.0125222,5.78325,49,7.28,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
33,0.4,inf,v1.0,torch,2.87803,0.0292,8.27676,1.40597,0.0141776,7.12415,50,0.564,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
33,0.4,inf,v1.0,cxx,2.87789,0.0291985,8.27676,1.40562,0.0141742,7.12415,50,7.32,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
34,0.4,inf,v1.0,torch,2.93709,0.0294801,8.45832,1.38524,0.0138855,7.26207,50,0.522,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
34,0.4,inf,v1.0,cxx,2.93692,0.0294786,8.45832,1.38516,0.0138847,7.26207,50,7.458,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
35,0.4,inf,v1.0,torch,2.63058,0.0265591,8.73989,1.33189,0.0134024,7.57785,50,0.517,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
35,0.4,inf,v1.0,cxx,2.63067,0.0265599,8.73989,1.33178,0.0134013,7.57785,50,7.48,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
36,0.4,inf,v1.0,torch,3.49859,0.0355053,9.54161,2.24095,0.0226218,8.12703,50,0.519,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
36,0.4,inf,v1.0,cxx,3.49861,0.0355055,9.54161,2.24098,0.0226221,8.12703,50,7.243,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
37,0.4,inf,v1.0,torch,4.32241,0.0438405,9.08809,2.60888,0.0262821,7.81297,50,0.518,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
37,0.4,inf,v1.0,cxx,4.32253,0.0438418,9.08809,2.60871,0.0262805,7.81297,50,7.366,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
38,0.4,inf,v1.0,torch,2.67332,0.0272309,7.36944,1.35842,0.0137095,6.0864,50,0.514,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
38,0.4,inf,v1.0,cxx,2.67329,0.0272307,7.36944,1.35837,0.013709,6.0864,50,7.421,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
39,0.4,inf,v1.0,torch,3.25954,0.0327409,8.78367,1.66682,0.0168122,7.37835,50,0.515,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
39,0.4,inf,v1.0,cxx,3.2594,0.0327397,8.78367,1.66674,0.0168115,7.37835,50,7.503,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
40,0.4,inf,v1.0,torch,3.34786,0.0340733,8.67211,1.61788,0.0163459,7.62176,50,0.514,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
40,0.4,inf,v1.0,cxx,3.34774,0.0340722,8.67211,1.61778,0.0163448,7.62176,50,7.384,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
41,0.4,inf,v1.0,torch,3.00455,0.0306278,8.94923,1.76062,0.0177517,7.71337,50,0.513,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
41,0.4,inf,v1.0,cxx,3.00458,0.030628,8.94923,1.76058,0.0177513,7.71337,50,7.211,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
42,0.4,inf,v1.0,torch,4.61963,0.0471783,9.02058,2.59746,0.0261718,7.9398,50,0.524,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
42,0.4,inf,v1.0,cxx,4.61957,0.0471778,9.02058,2.59739,0.0261711,7.9398,50,7.43,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
43,0.4,inf,v1.0,torch,2.91423,0.0295003,7.56247,1.63968,0.0165032,5.82068,50,0.517,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
43,0.4,inf,v1.0,cxx,2.91413,0.0294994,7.56247,1.63955,0.0165019,5.82068,50,7.484,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
44,0.4,inf,v1.0,torch,2.39666,0.0241249,8.95706,1.05446,0.0105894,6.73641,50,0.521,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
44,0.4,inf,v1.0,cxx,2.39691,0.0241272,8.95706,1.05453,0.0105901,6.73641,50,7.379,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
45,0.4,inf,v1.0,torch,4.52434,0.0455052,8.24789,2.8597,0.0287371,5.37812,50,0.513,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
45,0.4,inf,v1.0,cxx,4.52462,0.0455076,8.24789,2.86006,0.0287406,5.37812,50,7.194,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
46,0.4,inf,v1.0,torch,3.20123,0.0321626,8.61703,1.72288,0.0174191,7.38038,50,0.516,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
46,0.4,inf,v1.0,cxx,3.2012,0.0321624,8.61703,1.72289,0.0174192,7.38038,50,7.387,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
47,0.4,inf,v1.0,torch,4.84739,0.0496571,9.44689,2.5429,0.0256794,8.26273,50,0.516,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
47,0.4,inf,v1.0,cxx,4.84721,0.0496553,9.44689,2.54279,0.0256783,8.26273,50,7.765,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
48,0.4,inf,v1.0,torch,2.0387,0.0205833,8.13322,1.02315,0.0102848,6.32722,50,0.517,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
48,0.4,inf,v1.0,cxx,2.0384,0.0205803,8.13322,1.02302,0.0102836,6.32722,50,7.69,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
49,0.4,inf,v1.0,torch,2.53317,0.0257369,7.95542,1.67992,0.0170219,6.01722,50,0.545,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
49,0.4,inf,v1.0,cxx,2.53309,0.0257362,7.95542,1.67988,0.0170215,6.01722,50,10.757,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
50,0.4,inf,v1.0,torch,2.46141,0.0244736,8.05919,1.21636,0.0121404,6.42421,50,0.65,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
