seed,amplitude,snr,protocol,rel_rms_torch_cxx_mask,rel_rms_torch_truth_mask,rel_rms_cxx_truth_mask,rel_rms_torch_cxx_brain,rel_rms_torch_truth_brain,rel_rms_cxx_truth_brain,distance,lam,shrink,field_scale,field_terms,timestamp,git_commit,host
1,0.4,inf,v1.0,3.69611e-06,0.0356455,0.0356442,1.82862e-06,0.0187732,0.0187724,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
2,0.4,inf,v1.0,1.16568e-05,0.031562,0.03156,6.56423e-06,0.0155473,0.0155465,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
3,0.4,inf,v1.0,2.30354e-05,0.0283864,0.0283848,1.11242e-05,0.0128717,0.0128694,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
4,0.4,inf,v1.0,1.30307e-05,0.0283279,0.0283253,7.52177e-06,0.0137794,0.0137784,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
5,0.4,inf,v1.0,6.3988e-06,0.0319224,0.0319224,3.10825e-06,0.0147873,0.0147877,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
6,0.4,inf,v1.0,7.19965e-06,0.0300205,0.030019,4.35769e-06,0.0148852,0.0148839,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
7,0.4,inf,v1.0,1.1724e-05,0.030411,0.0304118,6.69929e-06,0.0157023,0.0157016,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
8,0.4,inf,v1.0,5.29749e-06,0.0263497,0.0263501,2.71099e-06,0.0127291,0.0127294,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
9,0.4,inf,v1.0,8.93689e-06,0.0589639,0.0589615,5.22653e-06,0.0319715,0.0319694,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
10,0.4,inf,v1.0,1.77938e-05,0.0246025,0.0246065,1.01854e-05,0.0144598,0.0144602,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
11,0.4,inf,v1.0,1.42185e-05,0.0162845,0.016288,6.76836e-06,0.00742681,0.00742753,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.0,5.224e-06,0.0335765,0.0335766,2.36639e-06,0.0196578,0.0196585,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.0,7.62551e-06,0.0224523,0.0224511,3.60452e-06,0.0116982,0.0116979,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.0,1.02359e-05,0.0348048,0.0348047,6.11531e-06,0.01791,0.0179096,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.0,3.18023e-06,0.0317101,0.0317112,1.53003e-06,0.0168377,0.0168382,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.0,1.56245e-05,0.0604088,0.0604045,1.01287e-05,0.0392334,0.039229,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.0,3.38482e-05,0.0452236,0.0452195,1.91887e-05,0.0234621,0.0234587,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.0,1.40209e-05,0.0438968,0.0438963,8.0986e-06,0.028615,0.028613,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.0,1.01424e-05,0.0363328,0.0363296,6.13017e-06,0.0184472,0.0184446,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.0,1.50687e-05,0.0205646,0.0205626,5.22514e-06,0.0096485,0.009649,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
21,0.4,inf,v1.0,5.70566e-06,0.0224185,0.022418,3.17884e-06,0.013637,0.0136365,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.0,2.5606e-05,0.0242465,0.0242444,1.5161e-05,0.013983,0.0139807,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
23,0.4,inf,v1.0,7.11931e-06,0.0449628,0.0449613,4.09922e-06,0.0237072,0.0237062,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
24,0.4,inf,v1.0,9.48187e-06,0.0287819,0.0287812,5.68683e-06,0.01379,0.0137896,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
25,0.4,inf,v1.0,6.14853e-06,0.0387762,0.0387736,3.29555e-06,0.0227511,0.02275,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
26,0.4,inf,v1.0,8.90634e-06,0.0539354,0.0539338,5.54479e-06,0.0275169,0.0275151,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
27,0.4,inf,v1.0,1.09458e-05,0.0361848,0.0361823,6.68127e-06,0.0201668,0.0201646,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
28,0.4,inf,v1.0,1.4601e-05,0.0371284,0.0371262,7.30523e-06,0.0185959,0.0185935,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
29,0.4,inf,v1.0,9.77522e-06,0.0363021,0.0363039,5.68778e-06,0.0214331,0.0214334,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
30,0.4,inf,v1.0,7.17184e-06,0.0440367,0.0440342,4.04232e-06,0.0218091,0.0218072,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
31,0.4,inf,v1.0,1.29422e-05,0.0280403,0.0280415,7.7234e-06,0.0170733,0.017073,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
32,0.4,inf,v1.0,8.67593e-06,0.0235922,0.0235911,4.50468e-06,0.0116862,0.011685,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
33,0.4,inf,v1.0,3.66216e-05,0.029506,0.0295036,1.2589e-05,0.0145567,0.0145533,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
34,0.4,inf,v1.0,1.68297e-05,0.029292,0.0292908,1.00837e-05,0.0139064,0.0139057,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
35,0.4,inf,v1.0,1.67155e-05,0.0267116,0.0267115,7.31616e-06,0.0137771,0.0137756,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
36,0.4,inf,v1.0,4.52727e-06,0.0365746,0.0365748,2.0247e-06,0.0236329,0.0236333,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
37,0.4,inf,v1.0,2.4949e-05,0.0448255,0.044826,1.65593e-05,0.0272616,0.0272597,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
38,0.4,inf,v1.0,5.00142e-06,0.0286992,0.028699,2.84693e-06,0.014449,0.0144485,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
39,0.4,inf,v1.0,9.20535e-06,0.0328666,0.0328657,5.25791e-06,0.0173347,0.017334,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
40,0.4,inf,v1.0,8.7003e-06,0.0345071,0.0345059,5.20189e-06,0.0169561,0.016955,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
41,0.4,inf,v1.0,6.67991e-06,0.0322206,0.0322207,3.90943e-06,0.0186893,0.0186888,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
42,0.4,inf,v1.0,8.40788e-06,0.0484476,0.0484469,4.86727e-06,0.0273159,0.0273151,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
43,0.4,inf,v1.0,2.09706e-05,0.0301603,0.0301595,1.31147e-05,0.0170258,0.0170247,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
44,0.4,inf,v1.0,5.33898e-06,0.0242255,0.0242276,2.38146e-06,0.0108273,0.0108279,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
45,0.4,inf,v1.0,1.90614e-05,0.046332,0.0463339,1.25173e-05,0.0293123,0.0293155,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
46,0.4,inf,v1.0,4.58112e-06,0.0324042,0.0324041,2.18233e-06,0.0182222,0.0182224,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
47,0.4,inf,v1.0,8.99642e-06,0.0508069,0.0508051,5.33868e-06,0.026977,0.0269757,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
48,0.4,inf,v1.0,7.94941e-06,0.0209593,0.0209564,4.09872e-06,0.0105721,0.0105708,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
49,0.4,inf,v1.0,8.57799e-06,0.0275713,0.0275709,4.93177e-06,0.0183069,0.0183066,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
50,0.4,inf,v1.0,1.03191e-05,0.0240578,0.0240611,5.98233e-06,0.0119977,0.0119994,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
1,0.4,inf,v1.1,1.16273e-10,0.00479403,0.00479403,8.00923e-11,0.00244379,0.00244379,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
2,0.4,inf,v1.1,1.91649e-10,0.0026375,0.0026375,1.19367e-10,0.00211046,0.00211046,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
