seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
1,0.2,inf,normal,fixed30,200,1e-07,4,cpu,torch,400,8,2.15831,0.0218632,3.9497,0.0236216,1.06608,0.0107189,2.80681,0.0210855,30,1.575,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,200,1e-07,4,cpu,torch,400,8,3.23611,0.0326496,3.9497,0.0236216,1.98183,0.0198669,2.80681,0.0210855,30,1.617,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,200,1e-07,4,cpu,torch,400,8,2.21256,0.021974,3.87511,0.0107623,1.05624,0.0105432,3.28263,0.00935116,30,1.588,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,200,1e-07,4,cpu,torch,400,8,2.77854,0.0280254,3.87511,0.0107623,1.61431,0.0162319,3.28263,0.00935116,30,1.783,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,200,1e-07,4,cpu,torch,400,8,1.97413,0.0199048,3.96223,0.00523862,0.87824,0.00882295,2.92538,0.0043412,30,1.559,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,200,1e-07,4,cpu,torch,400,8,2.64804,0.0268149,3.96223,0.00523862,1.49645,0.0150447,2.92538,0.0043412,30,1.863,1.711,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,200,1e-06,4,cpu,torch,400,8,2.07453,0.0210303,3.9497,0.0335105,1.0534,0.0105735,2.80681,0.0272638,30,1.824,1.645,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,200,1e-06,4,cpu,torch,400,8,3.1939,0.0321267,3.9497,0.0335105,2.02669,0.0202667,2.80681,0.0272638,30,1.667,1.645,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,200,1e-06,4,cpu,torch,400,8,1.84653,0.0184503,3.87511,0.0281082,0.978938,0.00976459,3.28263,0.0236033,30,1.8,1.645,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,200,1e-06,4,cpu,torch,400,8,2.54768,0.0256636,3.87511,0.0281082,1.62966,0.0163508,3.28263,0.0236033,30,1.486,1.645,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
