seed,amplitude,snr,method,solver,protocol,distance,lam,penalty,sample_size,max_iterations,shrink,device,backend,field_scale,field_terms,loss,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
1,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.10744,0.0213269,3.9497,0.00479213,0.962569,0.00968965,2.80681,0.00448657,30,0.67,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,3.10554,0.0314308,3.9497,0.00479213,1.75089,0.0176558,2.80681,0.00448657,30,0.68,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.89564,0.0590405,3.9497,0.00479213,3.84262,0.0386343,2.80681,0.00448657,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.81489,0.0493687,8.01912,0.0083344,2.37231,0.0240765,5.66111,0.00736837,30,0.68,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.72237,0.0584305,8.01912,0.0083344,3.1387,0.031786,5.66111,0.00736837,30,0.682,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,7.65982,0.0773904,8.01912,0.0083344,4.74164,0.0477692,5.66111,0.00736837,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.49701,0.100007,16.5439,0.014373,4.7092,0.0483001,11.5177,0.0107413,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.91763,0.104256,16.5439,0.014373,5.12226,0.0524278,11.5177,0.0107413,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
1,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,10.3702,0.108566,16.5439,0.014373,5.74394,0.0585282,11.5177,0.0107413,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.21816,0.0218927,3.87511,0.00273464,0.970879,0.0096909,3.28263,0.00185466,30,0.682,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
