seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
1,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.10752,0.0213278,3.9497,0.00479213,0.962595,0.00968991,2.80681,0.00448657,30,2.18,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.10561,0.0314317,3.9497,0.00479213,1.75085,0.0176554,2.80681,0.00448657,30,2.25,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.89574,0.0590414,3.9497,0.00479213,3.84288,0.0386368,2.80681,0.00448657,30,2.226,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.81503,0.0493702,8.01912,0.0083344,2.37227,0.024076,5.66111,0.00736837,30,2.3,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.72238,0.0584306,8.01912,0.0083344,3.13876,0.0317866,5.66111,0.00736837,30,2.187,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,7.65957,0.0773882,8.01912,0.0083344,4.7413,0.0477658,5.66111,0.00736837,30,2.062,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.49703,0.100007,16.5439,0.014373,4.70922,0.0483003,11.5177,0.0107413,30,2.34,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.91759,0.104256,16.5439,0.014373,5.12214,0.0524267,11.5177,0.0107413,30,2.086,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
1,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.3701,0.108565,16.5439,0.014373,5.74356,0.0585245,11.5177,0.0107413,30,2.133,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.21802,0.0218914,3.87511,0.00273464,0.97082,0.00969031,3.28263,0.00185466,30,2.273,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.73,0.0274552,3.87511,0.00273464,1.51552,0.0152734,3.28263,0.00185466,30,2.164,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.48508,0.0550663,3.87511,0.00273464,3.66246,0.0368953,3.28263,0.00185466,30,2.275,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.03778,0.049862,7.6336,0.00623601,2.2884,0.0229593,6.49394,0.00474227,30,2.417,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.58884,0.0560356,7.6336,0.00623601,2.83656,0.0286751,6.49394,0.00474227,30,2.166,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.89616,0.0696548,7.6336,0.00623601,4.2463,0.0429967,6.49394,0.00474227,30,2.283,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.1205,0.100449,14.8258,0.0188542,5.20896,0.0526247,12.7108,0.0174539,30,2.607,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.388,0.103202,14.8258,0.0188542,5.51582,0.0557546,12.7108,0.0174539,30,2.6,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
2,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.5931,0.105371,14.8258,0.0188542,6.00478,0.0606411,12.7108,0.0174539,30,2.411,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
